               epoch,      train/box_loss,train/obj_loss,train/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,val/box_loss,val/obj_loss,val/cls_loss
0,0.079676,0.091967,0,0.7476,0.50345,0.56942,0.26598,0.054684,0.07881,0
1,0.057878,0.081964,0,0.83342,0.60545,0.68268,0.35135,0.046808,0.073069,0
2,0.052648,0.077397,0,0.84307,0.64626,0.71896,0.39269,0.042815,0.071254,0
3,0.047978,0.075864,0,0.84591,0.67608,0.7481,0.42161,0.040413,0.069577,0
4,0.044284,0.073525,0,0.85355,0.68138,0.75745,0.44018,0.038483,0.067585,0
5,0.042346,0.072642,0,0.85733,0.69682,0.77181,0.44917,0.037847,0.067301,0
6,0.040839,0.06999,0,0.85359,0.70301,0.7767,0.45875,0.037267,0.066957,0
7,0.040051,0.069194,0,0.86096,0.70379,0.78205,0.46412,0.036614,0.066427,0
8,0.039104,0.068938,0,0.86388,0.71018,0.7847,0.46608,0.03652,0.066388,0
9,0.038523,0.067004,0,0.86398,0.70512,0.78318,0.47125,0.03628,0.066485,0
10,0.038978,0.068804,0,0.86705,0.71273,0.79118,0.47261,0.036079,0.065748,0
11,0.038787,0.069331,0,0.86774,0.71667,0.79335,0.47333,0.035771,0.065604,0
12,0.038379,0.068334,0,0.8716,0.71911,0.79686,0.48305,0.03525,0.064933,0
13,0.038028,0.068361,0,0.87048,0.7221,0.79932,0.48009,0.03529,0.065305,0
14,0.037689,0.068042,0,0.86868,0.7217,0.7998,0.48529,0.03496,0.064651,0
15,0.037515,0.06785,0,0.8661,0.72846,0.80235,0.48799,0.034738,0.064322,0
16,0.037311,0.067692,0,0.86968,0.72711,0.80487,0.48832,0.034699,0.06443,0
17,0.037147,0.067091,0,0.86745,0.73546,0.80938,0.49447,0.034225,0.064005,0
18,0.037,0.067641,0,0.87052,0.73184,0.80853,0.4942,0.034276,0.064032,0
19,0.036867,0.067228,0,0.87368,0.73044,0.80978,0.49687,0.03407,0.063859,0
20,0.036703,0.066973,0,0.87071,0.73278,0.81109,0.49572,0.034098,0.064031,0
21,0.036549,0.066507,0,0.87371,0.73537,0.81269,0.50027,0.033823,0.063595,0
22,0.036485,0.066886,0,0.86919,0.73605,0.81277,0.5004,0.033846,0.063599,0
23,0.036525,0.066802,0,0.86727,0.74179,0.81541,0.50361,0.033681,0.063266,0
24,0.036257,0.066341,0,0.87014,0.74055,0.81412,0.50192,0.033676,0.063549,0
25,0.036065,0.065644,0,0.87237,0.73874,0.816,0.5039,0.033692,0.063359,0
26,0.035949,0.065667,0,0.87615,0.73639,0.81621,0.5047,0.033508,0.063365,0
27,0.035892,0.066,0,0.87356,0.74218,0.81947,0.50654,0.03341,0.063174,0
28,0.03568,0.065516,0,0.87272,0.74377,0.81864,0.50638,0.033413,0.063273,0
29,0.035759,0.065596,0,0.87398,0.74242,0.81882,0.50702,0.03325,0.063047,0
30,0.035756,0.065698,0,0.87366,0.74571,0.82059,0.50831,0.033274,0.062898,0
31,0.035456,0.065206,0,0.87403,0.74432,0.82087,0.50879,0.033194,0.062975,0
32,0.035573,0.065269,0,0.87231,0.74623,0.82071,0.50916,0.033139,0.06302,0
33,0.035468,0.064917,0,0.87538,0.7426,0.82049,0.50958,0.033095,0.063039,0
34,0.035346,0.064911,0,0.87189,0.74695,0.82072,0.51002,0.033079,0.063052,0
35,0.035235,0.064971,0,0.87721,0.74414,0.82168,0.51099,0.033014,0.062923,0
36,0.035191,0.06513,0,0.87829,0.74541,0.82275,0.51277,0.032973,0.06277,0
37,0.035167,0.064777,0,0.87665,0.74696,0.82323,0.51351,0.032889,0.062714,0
38,0.035077,0.064636,0,0.87515,0.74837,0.8238,0.5143,0.03285,0.062688,0
